2017-06-19 13:47:01.434250	/	659092
2017-06-19 14:47:01.506813	/	659093
2017-06-19 15:47:01.539639	/	659005
2017-06-19 16:47:01.633789	/	659101
2017-06-19 17:47:01.714223	/	659171
2017-06-19 18:47:01.798394	/	659245
2017-06-19 19:47:01.835475	/	659297
2017-06-19 20:47:01.908562	/	659327
2017-06-19 21:47:02.000455	/	659369
2017-06-19 22:47:02.094370	/	659419
2017-06-19 23:47:02.173466	/	659452
2017-06-20 00:47:02.222232	/	659508
2017-06-20 01:47:02.314579	/	659540
2017-06-20 02:47:02.415677	/	659627
2017-06-20 03:47:02.516898	/	659731
2017-06-20 04:47:02.598480	/	659795
2017-06-20 05:47:02.683877	/	659897
2017-06-20 06:47:02.759126	/	660013
2017-06-20 07:47:02.834622	/	660097
2017-06-20 08:47:02.935961	/	660182
2017-06-20 09:47:03.034163	/	660301
2017-06-20 10:47:03.042956	/	660444
2017-06-20 11:47:03.144066	/	660452
2017-06-20 12:47:03.188431	/	660505
2017-06-20 13:47:03.289823	/	660524
2017-06-20 14:47:03.370520	/	660605
2017-06-20 15:47:03.471947	/	660706
2017-06-20 16:47:03.487661	/	660784
2017-06-20 17:47:03.508051	/	660647
2017-06-20 18:47:03.587577	/	660709
2017-06-20 19:47:03.683051	/	660761
2017-06-20 20:47:03.772612	/	660789
2017-06-20 21:47:03.844460	/	660829
2017-06-20 22:47:03.931766	/	660881
2017-06-20 23:47:04.013046	/	660953
2017-06-21 00:47:04.109456	/	660982
2017-06-21 01:47:04.185454	/	661069
2017-06-21 02:47:04.286560	/	661133
2017-06-21 03:47:04.366398	/	661244
2017-06-21 04:47:04.450222	/	661330
2017-06-21 05:47:04.547816	/	661459
2017-06-21 06:47:04.642164	/	661568
2017-06-21 07:47:04.684754	/	661662
2017-06-21 08:47:04.767735	/	661769
2017-06-21 09:47:04.865412	/	661869
2017-06-21 10:47:04.870154	/	662048
2017-06-21 11:47:04.921245	/	662165
2017-06-21 12:47:05.003623	/	662199
2017-06-21 13:47:05.105820	/	662277
2017-06-21 14:47:05.129761	/	662319
2017-06-21 15:47:05.153740	/	662402
2017-06-21 16:47:05.254690	/	662296
2017-06-21 17:47:05.322120	/	662354
2017-06-21 18:47:05.382395	/	662407
2017-06-21 19:47:05.482221	/	662442
2017-06-21 20:47:05.584160	/	662478
2017-06-21 21:47:05.685614	/	662524
2017-06-21 22:47:05.786936	/	662568
2017-06-21 23:47:05.879131	/	662616
2017-06-22 00:47:05.918187	/	662660
2017-06-22 01:47:06.019488	/	662705
2017-06-22 02:47:06.103930	/	662760
2017-06-22 03:47:06.198169	/	662844
2017-06-22 04:47:06.215238	/	662928
2017-06-22 05:47:06.315967	/	663023
2017-06-22 06:47:06.417279	/	663121
2017-06-22 07:47:06.520246	/	663216
2017-06-22 08:47:06.601681	/	663301
2017-06-22 09:47:06.699321	/	663387
2017-06-22 10:47:06.775862	/	663493
2017-06-22 11:47:06.866338	/	663567
2017-06-22 12:47:06.874147	/	663641
2017-06-22 13:47:06.970143	/	663730
2017-06-22 14:47:07.059526	/	663786
2017-06-22 15:47:07.145018	/	663865
2017-06-22 16:47:07.246230	/	663943
2017-06-22 17:47:07.314485	/	664010
2017-06-22 18:47:07.368047	/	664061
2017-06-22 19:47:07.469506	/	664109
2017-06-22 20:47:07.570907	/	664128
2017-06-22 21:47:07.655142	/	664162
2017-06-22 22:47:07.756949	/	664230
2017-06-22 23:47:07.858230	/	664279
2017-06-23 00:47:07.959466	/	664348
2017-06-23 01:47:08.059963	/	664396
2017-06-23 02:47:08.126066	/	664474
2017-06-23 03:47:08.139097	/	664529
2017-06-23 04:47:08.157896	/	664591
2017-06-23 05:47:08.243583	/	664714
2017-06-23 06:47:08.340197	/	664792
2017-06-23 07:47:08.441427	/	664870
2017-06-23 08:47:08.470200	/	664927
2017-06-23 09:47:08.508702	/	665009
2017-06-23 10:47:08.601590	/	665104
2017-06-23 11:47:08.694142	/	665166
2017-06-23 12:47:08.773703	/	665188
2017-06-23 13:47:08.848333	/	665205
2017-06-23 14:47:08.944550	/	665260
2017-06-23 15:47:09.045638	/	665302
2017-06-23 16:47:09.146961	/	665296
2017-06-23 17:47:09.243464	/	665329
2017-06-23 18:47:09.276807	/	665367
2017-06-23 19:47:09.339489	/	665423
2017-06-23 20:47:09.440541	/	665450
2017-06-23 21:47:09.528488	/	665477
2017-06-23 22:47:09.530699	/	665508
2017-06-23 23:47:09.631950	/	665536
2017-06-24 00:47:09.733230	/	665558
2017-06-24 01:47:09.825483	/	665572
2017-06-24 02:47:09.925940	/	665590
2017-06-24 03:47:10.022942	/	665623
2017-06-24 04:47:10.057592	/	665655
2017-06-24 05:47:10.156349	/	665692
2017-06-24 06:47:10.215130	/	665728
2017-06-24 07:47:10.310155	/	665754
2017-06-24 08:47:10.387945	/	665788
2017-06-24 09:47:10.476200	/	665831
2017-06-24 10:47:10.574327	/	665863
2017-06-24 11:47:10.667224	/	665904
2017-06-24 12:47:10.741553	/	665935
2017-06-24 13:47:10.785726	/	665972
2017-06-24 14:47:10.873309	/	666009
2017-06-24 15:47:10.930461	/	666049
2017-06-24 16:47:11.031604	/	666087
2017-06-24 17:47:11.087833	/	666104
2017-06-24 18:47:11.188959	/	666132
2017-06-24 19:47:11.284098	/	666159
2017-06-24 20:47:11.375213	/	666163
2017-06-24 21:47:11.476537	/	666187
2017-06-24 22:47:11.499244	/	666216
2017-06-24 23:47:11.579995	/	666242
2017-06-25 00:47:11.681118	/	666250
2017-06-25 01:47:11.754235	/	666269
2017-06-25 02:47:11.833593	/	666259
2017-06-25 03:47:11.934513	/	666287
2017-06-25 04:47:12.035587	/	666337
2017-06-25 05:47:12.136918	/	666361
2017-06-25 06:47:12.179615	/	666396
2017-06-25 07:47:12.229215	/	666427
2017-06-25 08:47:12.330206	/	666469
2017-06-25 09:47:12.415243	/	666525
2017-06-25 10:47:12.470224	/	666562
2017-06-25 11:47:12.571415	/	666586
2017-06-25 12:47:12.667084	/	666616
2017-06-25 13:47:12.762602	/	666639
2017-06-25 14:47:12.847202	/	666681
2017-06-25 15:47:12.921522	/	666724
2017-06-25 16:47:13.013540	/	666759
2017-06-25 17:47:13.114978	/	666795
2017-06-25 18:47:13.202392	/	666821
2017-06-25 19:47:13.286635	/	666847
2017-06-25 20:47:13.386623	/	666886
2017-06-25 21:47:13.481542	/	666926
2017-06-25 22:47:13.571680	/	666950
2017-06-25 23:47:13.662639	/	666986
2017-06-26 00:47:13.761697	/	667015
2017-06-26 01:47:13.798198	/	667048
2017-06-26 02:47:13.809888	/	667103
2017-06-26 03:47:13.911043	/	667162
2017-06-26 04:47:13.990833	/	667215
2017-06-26 05:47:14.007417	/	667290
2017-06-26 06:47:14.083932	/	667383
2017-06-26 07:47:14.182200	/	667464
2017-06-26 08:47:14.245735	/	667688
2017-06-26 09:47:14.261556	/	667437
2017-06-26 10:47:14.350428	/	667536
2017-06-26 11:47:14.450116	/	667638
2017-06-26 12:47:14.548599	/	667699
2017-06-26 13:47:14.644436	/	667760
2017-06-26 14:47:14.697163	/	667832
2017-06-26 15:47:14.799924	/	667832
2017-06-26 16:47:14.844102	/	667911
2017-06-26 17:47:14.936894	/	668002
2017-06-26 18:47:15.030716	/	668068
2017-06-26 19:47:15.041845	/	668140
2017-06-26 20:47:15.048464	/	668177
2017-06-26 21:47:15.140277	/	668219
2017-06-26 22:47:15.175539	/	668321
2017-06-26 23:47:15.187400	/	668375
2017-06-27 00:47:15.232323	/	668420
2017-06-27 01:47:15.326929	/	668483
2017-06-27 02:47:15.428465	/	668567
2017-06-27 03:47:15.515465	/	668648
2017-06-27 04:47:15.603162	/	668723
2017-06-27 05:47:15.683313	/	668816
2017-06-27 06:47:15.779458	/	668894
2017-06-27 07:47:15.868952	/	669027
2017-06-27 08:47:15.967184	/	669135
2017-06-27 09:47:16.067951	/	669294
2017-06-27 10:47:16.138162	/	669445
2017-06-27 11:47:16.194943	/	669535
2017-06-27 12:47:16.281801	/	669640
2017-06-27 13:47:16.374327	/	669771
2017-06-27 14:47:16.391420	/	669876
2017-06-27 15:47:16.411530	/	669936
2017-06-27 16:47:16.510966	/	670010
2017-06-27 17:47:16.612091	/	670129
2017-06-27 18:47:16.712422	/	670197
2017-06-27 19:47:16.812685	/	670250
2017-06-27 20:47:16.903291	/	670283
2017-06-27 21:47:16.967449	/	670335
2017-06-27 22:47:17.039579	/	670403
2017-06-27 23:47:17.087539	/	670296
2017-06-28 00:47:17.167723	/	670345
2017-06-28 01:47:17.180959	/	670389
2017-06-28 02:47:17.275609	/	670431
2017-06-28 03:47:17.374987	/	670509
2017-06-28 04:47:17.452108	/	670608
2017-06-28 05:47:17.521163	/	670704
2017-06-28 06:47:17.566878	/	670803
2017-06-28 07:47:17.664640	/	670876
2017-06-28 08:47:17.706697	/	670976
2017-06-28 09:47:17.798817	/	671078
2017-06-28 10:47:17.895568	/	671155
2017-06-28 11:47:17.985896	/	671263
2017-06-28 12:47:18.087072	/	671333
2017-06-28 13:47:18.137408	/	671492
2017-06-28 14:47:18.238694	/	671581
2017-06-28 15:47:18.299977	/	671664
2017-06-28 16:47:18.392074	/	671745
2017-06-28 17:47:18.493336	/	671861
2017-06-28 18:47:18.594176	/	671964
2017-06-28 19:47:18.694146	/	671992
2017-06-28 20:47:18.703025	/	672030
2017-06-28 21:47:18.804221	/	672052
2017-06-28 22:47:18.897367	/	672100
2017-06-28 23:47:18.926391	/	672126
2017-06-29 00:47:19.026040	/	672196
2017-06-29 01:47:19.127161	/	672227
2017-06-29 02:47:19.228212	/	672297
2017-06-29 03:47:19.300573	/	672410
2017-06-29 04:47:19.405258	/	672499
2017-06-29 05:47:19.562138	/	672625
2017-06-29 06:47:19.786132	/	672746
2017-06-29 07:47:19.846702	/	672810
2017-06-29 08:47:19.913756	/	672887
2017-06-29 09:47:19.949574	/	672981
2017-06-29 10:47:20.050574	/	673122
2017-06-29 11:47:20.137969	/	673214
2017-06-29 12:47:20.218931	/	673275
2017-06-29 13:47:20.308254	/	673333
2017-06-29 14:47:20.401804	/	673415
2017-06-29 15:47:20.482224	/	673502
2017-06-29 16:47:20.572516	/	673616
2017-06-29 17:47:20.672727	/	673711
2017-06-29 18:47:20.768678	/	673797
2017-06-29 19:47:20.868358	/	673869
2017-06-29 20:47:20.910209	/	673903
2017-06-29 21:47:21.008871	/	673951
2017-06-29 22:47:21.090544	/	674006
2017-06-29 23:47:21.193439	/	674061
2017-06-30 00:47:21.254183	/	674109
2017-06-30 01:47:21.282505	/	674172
2017-06-30 02:47:21.385335	/	674180
2017-06-30 03:47:21.470249	/	674247
2017-06-30 04:47:21.542998	/	674325
2017-06-30 05:47:21.644300	/	2017-06-30 06:47:21.745594	/	2017-06-30 07:47:21.810394	/	2017-06-30 08:47:21.895689	/	2017-06-30 09:47:21.996967	/	2017-06-30 10:47:22.089749	/	674774
2017-06-30 11:47:22.178078	/	674857
2017-06-30 12:47:22.252981	/	674923
2017-06-30 13:47:22.281117	/	674957
2017-06-30 14:47:22.382174	/	675036
2017-06-30 15:47:22.482494	/	675094
2017-06-30 16:47:22.558610	/	675169
2017-06-30 17:47:22.645306	/	675218
2017-06-30 18:47:22.697004	/	675288
2017-06-30 19:47:22.798118	/	675318
2017-06-30 20:47:22.879386	/	675341
2017-06-30 21:47:22.961953	/	675365
